,CO,FECHA-HORA,NO2,O3,PART,SO2
81,233,11/02/17-13:30,35,54,12,2
82,233,11/02/17-13:40,34,55,12,1
83,233,11/02/17-13:50,34,57,13,2
84,233,11/02/17-14:00,32,59,13,2
85,233,11/02/17-14:10,31,63,14,3
86,233,11/02/17-14:20,31,60,14,1
87,233,11/02/17-14:30,30,61,14,0
88,233,11/02/17-14:40,28,61,14,0
89,233,11/02/17-14:50,28,60,13,0
90,233,11/02/17-15:00,35,52,14,0
91,233,11/02/17-15:10,40,50,13,1
92,233,11/02/17-15:20,34,60,13,0
93,233,11/02/17-15:30,27,67,14,1
94,230,11/02/17-15:40,25,68,16,5
95,233,11/02/17-15:50,27,68,18,6
96,233,11/02/17-16:00,30,63,17,8
97,233,11/02/17-16:10,34,59,17,9
98,233,11/02/17-16:20,35,55,18,11
99,233,11/02/17-16:30,38,52,18,12
100,233,11/02/17-16:40,44,49,18,12
101,233,11/02/17-16:50,42,49,18,10
102,233,11/02/17-17:00,48,48,18,14
103,233,11/02/17-17:10,50,44,18,14
104,233,11/02/17-17:20,52,43,17,14
105,233,11/02/17-17:30,53,40,18,11
106,233,11/02/17-17:40,65,29,18,12
107,235,11/02/17-17:50,63,36,17,17
108,270,11/02/17-18:00,54,47,16,19
109,200,11/02/17-18:10,30,69,14,17
110,215,11/02/17-18:20,25,68,14,15
111,226,11/02/17-18:30,30,61,15,13
112,231,11/02/17-18:40,34,61,15,15
113,233,11/02/17-18:50,35,55,16,14
114,233,11/02/17-19:00,46,49,18,13
115,320,11/02/17-19:10,57,32,23,14
116,351,11/02/17-19:20,68,25,28,12
117,350,11/02/17-19:30,60,26,27,12
118,350,11/02/17-19:40,65,22,24,12
119,340,11/02/17-19:50,68,20,23,12
120,260,11/02/17-20:00,48,37,19,12
121,342,11/02/17-20:10,53,27,19,13
122,408,11/02/17-20:20,63,19,23,14
123,387,11/02/17-20:30,58,28,20,13
124,233,11/02/17-20:40,38,52,17,11
125,327,11/02/17-20:50,57,25,20,13
126,350,11/02/17-21:00,69,21,21,13
127,313,11/02/17-21:10,42,38,20,13
128,453,11/02/17-21:20,56,15,23,13
129,449,11/02/17-21:30,65,23,20,12
130,295,11/02/17-21:40,53,33,18,11
131,406,11/02/17-21:50,67,20,21,10
132,334,11/02/17-22:00,56,31,18,11
133,285,11/02/17-22:10,49,39,17,13
134,309,11/02/17-22:20,50,38,17,11
135,378,11/02/17-22:30,54,30,20,11
136,340,11/02/17-22:40,50,34,17,10
137,283,11/02/17-22:50,53,44,15,12
138,233,11/02/17-23:00,34,47,15,13
139,366,11/02/17-23:10,65,24,20,13
